transaction_id,transaction_ts,customer_id,card_type,merchant_id,transaction_amount,currency,country,channel,fraud_flag
T091,2025-12-04 04:15:00,C013,MasterCard,M003,452.59,INR,IN,POS,0
T092,2025-12-12 13:09:00,C029,VISA,M003,167.29,INR,IN,POS,0
T093,2025-12-02 03:31:00,C013,MasterCard,M013,3321.96,,,POS,1
T094,2025-12-17 22:52:00,C009,MasterCard,M019,1936.97,USD,US,POS,0
T095,2025-12-24 12:06:00,C023,VISA,M002,941.71,USD,US,Mobile,0
T096,2025-12-12 06:30:00,C018,VISA,M006,1030.87,USD,US,Online,0
T097,2025-12-27 22:12:00,C011,AMEX,M012,4977.1,,,Online,0
,2025-12-24 03:44:00,C015,VISA,M011,3263.2,AUD,AU,POS,0
T099,2025-12-04 20:05:00,C012,VISA,M002,3446.04,INR,IN,POS,0
T100,2025-12-15 12:42:00,C005,MasterCard,M005,1771.73,AUD,AU,POS,0
T101,2025-12-08 01:18:00,C030,MasterCard,M008,2970.06,USD,US,Online,0
T102,2025-12-17 18:43:00,C011,VISA,M013,991.72,AUD,AU,POS,0
T103,2025-12-14 08:55:00,C011,MasterCard,M013,2766.56,AUD,AU,Mobile,0
T104,2025-12-12 00:27:00,C017,MasterCard,M012,170.59,GBP,GB,Online,0
T105,2025-12-04 00:35:00,C013,AMEX,M012,2999.93,INR,IN,POS,1
T106,2025-12-22 19:18:00,C026,AMEX,M019,1470.16,,,Mobile,0
T107,2025-12-07 14:41:00,C005,VISA,M006,1843.54,AUD,AU,POS,0
T108,2025-12-12 02:31:00,C009,MasterCard,M004,1116.31,USD,US,POS,0
T109,2025-12-14 06:43:00,C010,MasterCard,M003,2708.0,AUD,AU,Mobile,0
T110,2025-12-06 03:47:00,C014,VISA,M011,1561.36,AUD,AU,Mobile,0
T111,2025-12-07 22:22:00,C008,MasterCard,M010,4394.87,GBP,GB,Online,0
T112,2025-12-24 01:38:00,C006,AMEX,M018,1236.5,USD,US,POS,0
T113,2025-12-19 19:02:00,C015,VISA,M007,4785.96,,,Online,1
T114,2025-12-17 11:17:00,C017,MasterCard,M010,3047.08,,,Online,0
T115,2025-12-26 04:42:00,C003,AMEX,M019,4704.03,GBP,GB,Online,0
T116,2025-12-25 13:22:00,C018,MasterCard,M007,806.16,,,POS,0
T117,2025-12-13 13:04:00,C014,VISA,M018,2603.85,AUD,AU,Mobile,0
T118,2025-12-05 02:35:00,C017,AMEX,M007,1000.65,GBP,GB,Online,0
T119,2025-12-17 21:35:00,C022,MasterCard,M017,319.02,AUD,AU,Online,0
T120,2025-12-15 21:54:00,C014,AMEX,M003,2861.84,AUD,AU,Online,0
