transaction_id,transaction_ts,customer_id,card_type,merchant_id,transaction_amount,currency,country,channel,fraud_flag
T151,2025-12-26 06:30:00,C014,VISA,M001,485.6,AUD,AU,Mobile,0
T152,2025-12-05 03:49:00,C018,AMEX,M014,4814.09,,,POS,0
T153,2025-12-12 20:26:00,C004,VISA,M008,2075.75,AUD,AU,Mobile,0
T154,2025-12-05 16:32:00,C015,AMEX,M019,2742.89,AUD,AU,POS,0
T155,2025-12-19 15:27:00,C011,VISA,M013,2770.89,AUD,AU,Mobile,0
T156,2025-12-07 05:00:00,C029,AMEX,M009,4786.43,INR,IN,POS,0
T157,2025-12-13 11:15:00,C029,VISA,M003,4185.83,,,Online,0
T158,2025-12-20 00:03:00,C008,VISA,M012,3660.7,GBP,GB,Online,1
T159,2025-12-23 05:04:00,C014,AMEX,M015,3969.6,AUD,AU,Mobile,0
T160,2025-12-17 04:05:00,C024,AMEX,M012,3324.25,INR,IN,POS,0
T161,2025-12-27 04:27:00,C002,AMEX,M014,4495.04,INR,IN,Online,0
T162,2025-12-24 22:29:00,C024,MasterCard,M005,4618.69,INR,IN,POS,0
T163,2025-12-14 01:26:00,C013,MasterCard,M019,2977.0,,,POS,0
T164,2025-12-22 07:48:00,C003,VISA,M019,898.63,GBP,GB,Mobile,0
T165,2025-12-06 03:31:00,C024,VISA,M010,3771.51,INR,IN,Online,0
T166,2025-12-20 04:12:00,C027,MasterCard,M019,2485.63,INR,IN,Mobile,0
T167,2025-12-01 19:31:00,C021,AMEX,M016,724.5,,,Mobile,0
T168,2025-12-10 15:57:00,C006,MasterCard,M013,3372.33,USD,US,Online,0
T169,2025-12-17 03:42:00,C020,VISA,M019,4646.27,USD,US,Online,0
T170,2025-12-20 21:01:00,C020,VISA,M005,1507.61,USD,US,POS,0
T171,2025-12-04 08:01:00,C017,VISA,M002,1228.2,,,POS,0
T172,2025-12-05 13:48:00,C015,VISA,M002,3819.18,AUD,AU,Online,0
T173,2025-12-22 03:29:00,C030,MasterCard,M020,2094.15,USD,US,Online,0
T174,2025-12-11 18:03:00,C009,MasterCard,M001,4276.66,USD,US,Mobile,0
T175,2025-12-13 06:31:00,C002,AMEX,M015,2148.99,INR,IN,Mobile,1
T176,2025-12-22 16:03:00,C011,VISA,M002,4283.86,AUD,AU,POS,0
T177,2025-12-15 07:27:00,C025,AMEX,M001,372.44,INR,IN,Mobile,0
,2025-12-21 04:07:00,C028,VISA,M004,370.37,INR,IN,Online,0
T179,2025-12-27 16:17:00,C014,MasterCard,M014,2702.08,AUD,AU,Mobile,0
T180,2025-12-16 03:11:00,C021,VISA,M017,3111.3,USD,US,Mobile,0
