transaction_id,transaction_ts,customer_id,card_type,merchant_id,transaction_amount,currency,country,channel,fraud_flag
T031,2025-12-15 07:18:00,C004,AMEX,M015,1287.51,AUD,AU,Mobile,0
T032,2025-12-23 07:24:00,C011,MasterCard,M020,3163.94,AUD,AU,Mobile,0
T033,2025-12-06 20:12:00,C011,AMEX,M012,2261.63,AUD,AU,POS,0
T034,2025-12-22 08:57:00,C007,VISA,M005,3846.84,INR,IN,Online,0
T035,2025-12-07 12:25:00,C012,AMEX,M013,1810.44,INR,IN,Online,0
T036,2025-12-27 06:54:00,C013,MasterCard,M015,3888.98,,,POS,0
T037,2025-12-28 08:03:00,C001,AMEX,M002,781.67,GBP,GB,Online,0
T038,2025-12-01 06:46:00,C001,AMEX,M018,928.17,GBP,GB,Online,0
T039,2025-12-16 03:41:00,C010,AMEX,M002,759.18,AUD,AU,Online,0
T040,2025-12-03 02:13:00,C006,VISA,M009,2355.51,,,Mobile,0
T041,2025-12-06 06:51:00,C009,AMEX,M009,3052.11,USD,US,POS,0
T042,2025-12-07 06:42:00,C023,AMEX,M008,2372.64,USD,US,POS,0
T043,2025-12-02 16:25:00,C028,MasterCard,M014,1378.62,INR,IN,Online,0
T044,2025-12-28 08:11:00,C002,AMEX,M004,181.96,INR,IN,POS,0
T045,2025-12-03 08:40:00,C013,AMEX,M019,1754.92,INR,IN,Mobile,1
T046,2025-12-19 18:52:00,C030,MasterCard,M016,2658.7,USD,US,Mobile,0
T047,2025-12-13 02:58:00,C021,MasterCard,M010,1394.36,USD,US,Mobile,0
T048,2025-12-02 00:54:00,C017,MasterCard,M010,4381.45,,,Online,0
T049,2025-12-22 23:10:00,C022,MasterCard,M005,4711.9,AUD,AU,Mobile,0
T050,2025-12-07 08:07:00,C025,MasterCard,M010,4751.96,INR,IN,POS,0
T051,2025-12-08 17:02:00,C015,VISA,M013,3815.91,,,POS,1
T052,2025-12-11 03:10:00,C025,AMEX,M006,3345.75,INR,IN,Online,0
T053,2025-12-18 01:45:00,,AMEX,M014,2567.18,AUD,AU,POS,0
T054,2025-12-23 16:52:00,C016,VISA,M018,4732.75,AUD,AU,Mobile,0
T055,2025-12-04 08:04:00,C028,MasterCard,M006,4931.81,,,Online,0
T056,2025-12-06 19:15:00,C026,VISA,M018,1299.0,,,Online,0
T057,2025-12-23 09:18:00,C013,VISA,M008,1242.91,INR,IN,POS,0
T058,2025-12-25 14:49:00,C004,AMEX,M009,3869.31,AUD,AU,POS,0
T059,2025-12-20 22:16:00,C011,MasterCard,M018,2277.05,AUD,AU,Online,0
T060,2025-12-22 21:27:00,C017,AMEX,M002,2545.1,GBP,GB,Online,0
