transaction_id,transaction_ts,customer_id,card_type,merchant_id,transaction_amount,currency,country,channel,fraud_flag
T271,2025-12-23 23:49:00,C024,MasterCard,M002,3125.56,INR,IN,POS,0
T272,2025-12-19 08:06:00,C005,VISA,M011,2433.55,AUD,AU,Mobile,0
T273,2025-12-08 20:58:00,C029,MasterCard,M011,2165.75,INR,IN,Mobile,0
T274,2025-12-23 13:30:00,C005,VISA,M005,1133.99,AUD,AU,POS,0
T275,2025-12-08 09:15:00,C007,AMEX,M004,2267.31,INR,IN,Mobile,1
T276,2025-12-23 05:04:00,C004,VISA,M002,1251.43,AUD,AU,Mobile,0
T277,2025-12-13 13:54:00,C030,MasterCard,M003,184.16,,,Mobile,0
T278,2025-12-09 23:34:00,C014,MasterCard,M012,3745.94,AUD,AU,POS,0
T279,2025-12-01 13:01:00,C028,MasterCard,M003,3953.36,,,Mobile,1
T280,2025-12-16 14:22:00,C016,VISA,M011,3923.04,,,POS,0
T281,2025-12-20 03:35:00,C019,AMEX,M009,1161.4,INR,IN,POS,0
T282,2025-12-19 02:35:00,C030,MasterCard,M020,3591.07,USD,US,Mobile,0
T283,2025-12-19 12:07:00,C025,VISA,M007,1274.1,INR,IN,POS,0
T284,2025-12-10 17:55:00,C010,VISA,M016,3944.9,AUD,AU,Online,0
T285,2025-12-03 17:04:00,C025,MasterCard,M009,2002.75,INR,IN,POS,0
T286,2025-12-19 02:36:00,C021,AMEX,M004,440.56,,,Online,0
T287,2025-12-27 11:44:00,C016,AMEX,M004,4553.17,AUD,AU,Mobile,0
T288,2025-12-01 19:22:00,C015,VISA,M005,4276.39,AUD,AU,POS,0
T289,2025-12-20 07:29:00,C030,VISA,M012,1312.99,USD,US,Mobile,0
T290,2025-12-01 20:46:00,C006,AMEX,M019,2542.59,USD,US,Online,0
T291,2025-12-11 21:02:00,C016,AMEX,M004,3296.21,AUD,AU,Mobile,0
T292,2025-12-14 22:40:00,C005,AMEX,M002,425.84,AUD,AU,POS,0
T293,2025-12-18 19:41:00,C003,MasterCard,M001,3501.0,GBP,GB,POS,0
T294,2025-12-02 05:15:00,C010,VISA,M010,985.45,AUD,AU,Online,0
T295,2025-12-09 06:14:00,C023,MasterCard,M019,2182.58,USD,US,Online,0
T296,2025-12-19 17:30:00,C001,AMEX,M017,4684.56,GBP,GB,Mobile,1
T297,2025-12-14 21:50:00,C013,MasterCard,M011,2437.52,INR,IN,POS,0
T298,2025-12-10 20:53:00,C007,MasterCard,M008,2565.06,INR,IN,POS,0
T299,2025-12-28 08:27:00,C025,AMEX,M015,3724.08,INR,IN,Mobile,0
T300,2025-12-11 15:40:00,C004,VISA,M017,3194.22,AUD,AU,Mobile,0
