transaction_id,transaction_ts,customer_id,card_type,merchant_id,transaction_amount,currency,country,channel,fraud_flag
T001,2025-12-11 14:25:00,C025,VISA,M008,466.21,INR,IN,Online,0
T002,2025-12-21 18:38:00,,VISA,M019,4297.79,USD,US,POS,0
T003,2025-12-04 03:08:00,C003,MasterCard,M015,2771.82,GBP,GB,Online,0
T004,2025-12-14 19:58:00,C023,VISA,M002,2672.46,USD,US,Online,0
T005,2025-12-07 18:56:00,C001,AMEX,M006,2230.17,,,Online,0
T006,2025-12-10 11:43:00,C027,MasterCard,M011,2123.43,INR,IN,POS,0
T007,2025-12-09 23:11:00,C021,AMEX,M010,2227.42,,,Mobile,0
T008,2025-12-09 07:58:00,C021,AMEX,M002,1317.76,USD,US,Online,0
T009,2025-12-11 01:20:00,C001,MasterCard,M009,838.43,,,Mobile,0
T010,2025-12-26 20:55:00,C015,VISA,M007,3161.72,AUD,AU,POS,0
T011,2025-12-23 12:55:00,C007,AMEX,M006,2752.65,,,POS,0
T012,2025-12-25 13:26:00,C023,MasterCard,M010,1597.1,USD,US,Mobile,0
T013,2025-12-18 07:32:00,C004,MasterCard,M004,4943.19,AUD,AU,Mobile,0
T014,2025-12-01 20:33:00,C019,AMEX,M003,3966.03,INR,IN,POS,0
T015,2025-12-21 13:37:00,C008,MasterCard,M008,4974.13,GBP,GB,POS,0
T016,2025-12-05 22:08:00,C017,MasterCard,M019,372.36,GBP,GB,POS,0
T017,2025-12-13 20:21:00,C026,AMEX,M008,2547.02,AUD,AU,Mobile,0
T018,2025-12-04 02:01:00,C007,VISA,M008,3375.17,INR,IN,Online,0
T019,2025-12-28 06:25:00,C012,VISA,M002,1779.29,INR,IN,Mobile,0
T020,2025-12-11 16:33:00,C012,VISA,M003,357.27,INR,IN,Mobile,0
T021,2025-12-28 00:53:00,C008,MasterCard,M014,4277.97,GBP,GB,Online,0
T022,2025-12-03 19:01:00,C027,VISA,M005,1994.31,INR,IN,Online,0
T023,2025-12-15 15:42:00,C002,VISA,M007,3150.86,INR,IN,Online,0
T024,2025-12-25 03:36:00,C013,AMEX,M003,2722.7,,,POS,0
T025,2025-12-21 02:21:00,C017,AMEX,M013,3079.2,,,Mobile,0
T026,2025-12-24 21:09:00,C026,MasterCard,M007,4279.95,AUD,AU,Online,0
T027,2025-12-25 01:12:00,C012,VISA,M020,4677.74,INR,IN,POS,0
T028,2025-12-06 23:17:00,C024,AMEX,M018,1977.57,INR,IN,POS,0
T029,2025-12-02 13:32:00,C023,VISA,M014,3426.89,USD,US,Mobile,0
T030,2025-12-08 14:10:00,C019,MasterCard,M019,2406.93,INR,IN,POS,0
