transaction_id,transaction_ts,customer_id,card_type,merchant_id,transaction_amount,currency,country,channel,fraud_flag
T121,2025-12-26 07:36:00,C015,VISA,M014,1760.24,AUD,AU,POS,0
T122,2025-12-10 22:44:00,C017,AMEX,M003,4081.95,GBP,GB,Online,0
T123,2025-12-13 02:09:00,C021,MasterCard,M003,1211.7,USD,US,Mobile,0
T124,2025-12-26 13:26:00,C028,VISA,M016,1455.7,INR,IN,Mobile,0
T125,2025-12-14 14:23:00,C007,VISA,M020,3697.25,,,POS,0
T126,2025-12-12 20:58:00,C016,MasterCard,M016,4193.58,AUD,AU,Mobile,0
T127,2025-12-24 04:23:00,C026,MasterCard,M002,1261.93,AUD,AU,Online,0
T128,2025-12-03 04:58:00,C029,VISA,M019,4543.85,INR,IN,Online,1
T129,2025-12-04 11:49:00,C018,VISA,M012,2342.28,USD,US,POS,0
T130,2025-12-22 19:13:00,C011,AMEX,M004,1160.21,,,POS,0
T131,2025-12-07 12:30:00,C028,AMEX,M013,2076.23,,,Online,0
T132,2025-12-16 08:47:00,C001,MasterCard,M016,4300.02,GBP,GB,Online,0
T133,2025-12-08 02:57:00,C027,MasterCard,M016,2893.73,INR,IN,POS,1
T134,2025-12-17 21:44:00,C008,VISA,M020,2754.86,GBP,GB,POS,0
T135,2025-12-11 08:28:00,C026,VISA,M013,1807.16,AUD,AU,POS,0
T136,2025-12-12 13:43:00,C013,MasterCard,M012,2619.8,INR,IN,POS,0
T137,2025-12-15 02:58:00,C014,MasterCard,M002,3559.93,AUD,AU,POS,0
T138,2025-12-18 10:42:00,C023,AMEX,M015,3153.0,USD,US,Mobile,0
T139,2025-12-28 11:51:00,C027,AMEX,M009,4475.63,,,Mobile,0
T140,2025-12-20 03:30:00,C002,VISA,M014,2172.1,INR,IN,Online,0
T141,2025-12-07 20:16:00,C030,MasterCard,M007,1895.14,USD,US,Mobile,0
T142,2025-12-15 14:14:00,C022,MasterCard,M008,4843.48,AUD,AU,Online,0
T143,2025-12-08 00:10:00,C023,AMEX,M014,1554.8,USD,US,Mobile,1
T144,2025-12-08 11:03:00,C015,AMEX,M018,1138.64,,,Mobile,0
T145,2025-12-06 17:08:00,C018,VISA,M015,350.09,USD,US,Mobile,0
T146,2025-12-11 00:57:00,C001,MasterCard,M012,3715.78,GBP,GB,POS,0
T147,2025-12-23 04:21:00,C021,AMEX,M003,2805.07,USD,US,Online,0
T148,2025-12-21 11:36:00,C029,MasterCard,M008,4025.14,INR,IN,Online,0
T149,2025-12-18 07:45:00,C009,MasterCard,M001,2300.58,,,Online,0
T150,2025-12-10 19:49:00,C023,AMEX,M007,1892.68,USD,US,Mobile,1
